original_affiliation,new_affiliation,move_to_other_affiliation?
"Institute of Psychiatry, King's College London and Department of Mental Health; St George's University; London United Kingdom",n/a,True
Karmanos Cancer Institute; Wayne State University; Detroit Michigan United States of America,n/a,True
University Medicine Greifswald; University of Greifswald; Greifswald Germany,n/a,True
Department of Biostatistics; Harvard School of Public Health; Boston; Massachusetts,n/a,True
Department of Biostatistics; University of North Carolina at Chapel Hill; Chapel Hill; North Carolina,Department of Biostatistics,False
Department of Epidemiology; University of North Carolina at Chapel Hill; Chapel Hill; North Carolina,Department of Epidemiology,False
Department of Stem Cell Transplantation and Cellular Therapy; MD Anderson Cancer Center; Houston; Texas,n/a,True
Lineberger Comprehensive Cancer Center; University of North Carolina at Chapel Hill; Chapel Hill; North Carolina,UNC Lineberger Comprehensive Cancer Center,False
Department of Biostatistics and Epidemiology; University of Pennsylvania; Philadelphia; Pennsylvania,n/a,True
Department of Computer Science; University of North Carolina at Chapel Hill; Chapel Hill; North Carolina,Department of Computer Science,False
Department of Biostatistics and Epidemiology; University of Pennsylvania School of Medicine; Philadelphia; Pennsylvania,n/a,True
Department of Genetics; University of North Carolina; Chapel Hill; North Carolina,Department of Genetics,False
Department of Epidemiology and Biostatistics; Cancer Center; Nanjing Medical University; Nanjing; Jiangsu; China,n/a,True
Department of Genetics; Department of Biostatistics; University of North Carolina; Chapel Hill; North Carolina,Department of Genetics|Department of Biostatistics,False
Key Laboratory for Environment and Health (Ministry of Education); School of Public Health; Huazhong University of Sciences and Technology; Wuhan; Hubei; China,n/a,True
Laboratory of Cancer Molecular Genetics; Medical College of Soochow University; Suzhou; Jiangsu; China,n/a,True
Program in Molecular and Genetic Epidemiology; Harvard School of Public Health; Boston; Massachusetts,n/a,True
Department of Biostatistics and Epidemiology; University of Pennsylvania School of Medicine; Philadelphia Pennsylvania,n/a,True
Department of Biostatistics; University of North Carolina; Chapel Hill North Carolina,Department of Biostatistics,False
Cancer Prevention Program; Fred Hutchinson Cancer Research Center; Seattle Washington United States of America,n/a,True
Center for Public Health Genomics; Department of Public Health Sciences; University of Virginia; Charlottesville Virginia United States of America,n/a,True
Department of Epidemiology; University of Washington; Seattle Washington United States of America,n/a,True
Department of Genome Science; University of Washington; Seattle Washington United States of America,n/a,True
Department of Pathology and Biochemistry; University of Vermont College of Medicine; Burlington Vermont United States of America,n/a,True
Department of Physiology and Biophysics; University of Mississippi Medical Center; Jackson Mississippi United States of America,n/a,True
Department of Statistics and Department of Genetics; Stanford University; Stanford California United States of America,n/a,True
"Departments of Epidemiology, Genetics and Biostatistics; Bioinformatics and Computational Biology; University of North Carolina; Chapel Hill North Carolina United States of America",Department of Epidemiology|Department of Genetics|Department of Biostatistics|Curriculum in Bioinformatics and Computational Biology,False
Division of Cardiovascular Medicine; Department of Internal Medicine; University of Michigan; Ann Arbor Michigan United States of America,n/a,True
"Division of Endocrinology, Diabetes and Metabolism; Ohio State University; Columbus Ohio United States of America",n/a,True
Division of Public Health Sciences; Fred Hutchinson Cancer Research Center; Seattle Washington United States of America,n/a,True
Division of Pulmonary and Critical Care Medicine; University of Washington; Seattle Washington United States of America,n/a,True
Montreal Heart Institute and Départment de Médecine; Université de Montréal; Montréal Quebec Canada,n/a,True
"National Heart, Lung, and Blood Institute Center for Population Studies; The Framingham Heart Study; Framingham Massachusetts United States of America",n/a,True
Research Institute; Puget Sound Blood Center; Seattle Washington United States of America,n/a,True
Department of Biostatistics; The University of North Carolina at Chapel Hill; Chapel Hill North Carolina United States of America,Department of Biostatistics,False
"Department of Biostatistics; University of North Carolina, Chapel Hill; North Carolina United States of America",Department of Biostatistics,False
"Department of Genetics; University of North Carolina, Chapel Hill; North Carolina United States of America",Department of Genetics,False
"Department of Psychiatry; University of North Carolina, Chapel Hill; North Carolina United States of America",Department of Psychiatry,False
"School of Public Health; Harvard, Boston Massachusetts United States of America",n/a,True
Department of Genetics; University of North Carolina at Chapel Hill; North Carolina United States of America,Department of Genetics,False
Lineberger Comprehensive Cancer Center; University of North Carolina at Chapel Hill; North Carolina United States of America,UNC Lineberger Comprehensive Cancer Center,False
Department of Biostatistics; University of North Carolina at Chapel Hill; North Carolina United States of America,Department of Biostatistics,False
Department of Psychiatry; University of North Carolina at Chapel Hill; North Carolina United States of America,Department of Psychiatry,False
Department of Biostatistics; UNC Gillings School of Global Public Health; Chapel Hill NC USA,Department of Biostatistics,False
Department of Endodontics; School of Dentistry; University of North Carolina; Chapel Hill NC USA,Department of Endodontics,False
Department of Epidemiology; UNC Gillings School of Global Public Health; Chapel Hill NC USA,Department of Epidemiology,False
Bowles Center for Alcohol Studies; University of North Carolina School of Medicine; Chapel Hill; North Carolina,Bowles Center for Alcohol Studies,False
Laboratory of Cell Pharmacology; School of Pharmaceutical Sciences; Hebei University; People's Republic of China,n/a,True
Neuropharmacology Section; NIEHS; Research Triangle Park; North Carolina,n/a,True
Australian Research Council Centre of Excellence for Coral Reef Studies; School of Biological Sciences; The University of Queensland; St. Lucia; QLD; 4072; Australia,n/a,True
"CSIRO Mathematics, Informatics and Statistics; Ecosciences Precinct; Brisbane; QLD; 4001; Australia",n/a,True
Climate Adaptation Flagship; CSIRO Marine and Atmospheric Research; Ecosciences Precinct; Brisbane; QLD; 4001; Australia,n/a,True
Department of Biology; University of North Carolina; Chapel Hill; NC; 27566; USA,Department of Biology,False
Farallon Institute for Advanced Ecosystem Research; PO Box 750756; Petaluma; CA; 94952; USA,n/a,True
National Institute of Aquatic Resources; Technical University of Denmark; Charlottenlund Castle; DK-2920; Charlottenlund; Denmark,n/a,True
Scottish Association for Marine Science; Scottish Marine Institute; Oban; Argyll; PA; 37 1QA; UK,n/a,True
"  Department of Economics, University of North Carolina , Chapel Hill, USA",Department of Economics,False
"  Department of Oncology, Hue Central Hospital , Hue city, Vietnam",n/a,True
"  Faculty of Public Health and Board Committee of Research and Training Center for Enhancing Quality of Life of Working Age People (REQW), Khon Kaen University , Khon Kaen, Thailand",n/a,True
"  Graduate School, Khon Kaen University , Khon Kaen, Thailand",n/a,True
"  Institute of Health Policy, Management and Evaluation, University of Toronto , TorontorOntariorCanada",n/a,True
"  MEASURE Evaluation, Carolina Population Center, University of North Carolina , Chapel Hill, NC, USA",Carolina Population Center,False
"  MEASURE Evaluation, Futures Group , Chapel Hill, NC, USA",Carolina Population Center,False
"  Department of Economics, University of North Carolina , Chapel Hill, NC, USA",Department of Economics,False
"  Faculty of Public Health, Khon Kaen University , Khon Kaen, Thailand",n/a,True
"n        Division of Chemical Biology and Medicinal Chemistry, Eshelman School of Pharmacy, Rm 303, Beard Hall",Division of Chemical Biology and Medicinal Chemistry,False
"n        Division of Hematology/Oncology, Department of Medicine, University of North Carolina at Chapel Hill, Chapel Hill, NC 27599, USA",Division of Hematology/Oncology,False
Biopharm Research Unit; Novo Nordisk A/S; Maaloev; Denmark,n/a,True
Department of Pathology and Laboratory Medicine; University of North Carolina; Chapel Hill; NC; USA,Department of Pathology and Laboratory Medicine,False
A. Bianchi Bonomi Hemophilia and Thrombosis Centre; IRCCS Cà Granda Foundation Maggiore Policlinico Hospital and University of Milan; Milan; Italy,n/a,True
"CHU Sainte-Justine Hospital, Hemophilia Treatment Centre; Montreal; Quebec, Canada",n/a,True
"Department of Biostatistics; Rho, Inc; Chapel Hill; NC; USA",n/a,True
Department of Cardiovascular Science; University of Sheffield; Sheffield; UK,n/a,True
Department of Hematology; Erasmus University Medical Center; Rotterdam; The Netherlands,n/a,True
Department of Medicine; Rochester General Hospital; Rochester; NY; USA,n/a,True
Department of Medicine; University of North Carolina at Chapel Hill; Chapel Hill; NC; USA,Department of Medicine,False
"Department of Paediatrics; Division of Haematology-Oncology; Hospital for Sick Children; Toronto; Ontario, Canada",n/a,True
Dr. von Hauner's Children's University Hospital; University of Munich; Munich; Germany,n/a,True
Haemostasis and Thrombosis Unit; La Paz University Hospital; Madrid; Spain,n/a,True
Lund University; Malmö Centre for Thrombosis and Haemostasis; Skåne University Hospital; Malmö; Sweden,n/a,True
"Medical Sciences Institute, BloodCenter of Wisconsin; Milwaukee; WI; USA",n/a,True
Pediatric Hematology; Medical College of Wisconsin; Comprehensive Center for Bleeding Disorders; BloodCenter of Wisconsin; Milwaukee; WI; USA,n/a,True
Scientific Direction; IRCCS Cà Granda Maggiore Policlinico Hospital Foundation; Milan; Italy,n/a,True
Department of Biomedical Engineering University of North Carolina; Chapel Hill NC USA,UNC/NCSU Joint Department of Biomedical Engineering,False
Gene Therapy Center University of North Carolina; Chapel Hill NC USA,Gene Therapy Center,False
INSERM U957 Université de Nantes; Nantes France,n/a,True
Department of Pediatrics; University of North Carolina at Chapel Hill; Chapel Hill NC USA,Department of Pediatrics,False
Departments of Pediatrics and Hematology/Oncology; Emory University; Atlanta GA USA,n/a,True
Division of Blood Disorders; National Center for Birth Defects and Developmental Disabilities; Centers for Disease Control and Prevention; Atlanta GA USA,n/a,True
Division of Hematology/Oncology; Department of Pediatrics; Saint Louis University; St. Louis MO USA,n/a,True
Department of Biostatistics; Washington University School of Medicine; St. Louis Missouri,n/a,True
Department of Otolaryngology - Head and Neck Surgery; University of North Carolina; Chapel Hill North Carolina,Department of Otolaryngology/Head and Neck Surgery,False
Department of Otolaryngology - Head and Neck Surgery; Washington University School of Medicine; St. Louis Missouri,n/a,True
Broad Institute of Massachusetts Institute of Technology and Harvard; Cambridge Massachusetts,n/a,True
Department of Medicine; University of California San Francisco; San Francisco California,n/a,True
Department of Neurosurgery; Johns Hopkins University School of Medicine; Baltimore Maryland,n/a,True
Department of Oncology; Johns Hopkins University School of Medicine; Baltimore Maryland,n/a,True
Department of Otolaryngology-Head and Neck Surgery; Johns Hopkins University School of Medicine; Baltimore Maryland,n/a,True
Department of Otolaryngology-Head and Neck Surgery; Ohio State University; Columbus Ohio,n/a,True
Department of Otolaryngology-Head and Neck Surgery; University of California San Francisco; San Francisco California,n/a,True
Department of Pathology; Johns Hopkins University; Baltimore Maryland,n/a,True
Howard Hughes Medical Institute; Chevy Chase Maryland,n/a,True
Milton J. Dance Head and Neck Center; Greater Baltimore Medical Center; Baltimore Maryland,n/a,True
The Ludwig Center and the Howard Hughes Medical Institute at Johns Hopkins Kimmel Cancer Center; Baltimore Maryland,n/a,True
"Johns Hopkins Bloomberg School of Public Health, Baltimore, Maryland",n/a,True
"San Diego State University, California",n/a,True
"Tulane University, New Orleans, Louisiana",n/a,True
"University of Maryland, Baltimore",n/a,True
"University of Maryland, College Park",n/a,True
"University of Minnesota, Minneapolis",n/a,True
"University of South Carolina, Columbia",n/a,True
"Johns Hopkins University, Baltimore, Maryland",n/a,True
"National Heart, Lung, and Blood Institute, Bethesda, Maryland",n/a,True
"University of Arizona, Tucson",n/a,True
"University of New Mexico, Albuquerque",n/a,True
"Louisiana State University Health Sciences Center, New Orleans",n/a,True
San Diego State University,n/a,True
"Center for Health Promotion and Prevention Research, School of Public Health, University of Texas, Houston TX, USA",n/a,True
"Center for Sexual Health Promotion, and School of Health, Physical Education &amp; Recreation, Indiana University, Bloomington, IN, USA",n/a,True
"Department of Biostatistical Sciences, Division of Public Health Sciences, Wake Forest University School of Medicine, Winston Salem, NC, USA",n/a,True
"Department of Counseling/Human Organizational Studies, The George Washington University, Washington, DC, USA",n/a,True
"Department of Health Behavior and Health Education, University of North Carolina School of Public Health, Chapel Hill, NC, USA",Department of Health Behavior,False
"Department of Internal Medicine, Wake Forest University School of Medicine, Winston Salem, NC, USA, The Maya Angelou Center for Health Equity, Wake Forest University School of Medicine, Winston Salem, NC, USA",n/a,True
"Department of Internal Medicine, Wake Forest University School of Medicine, Winston Salem, NC, USA, and W.G. Hefner Veterans Affairs Medical Center, Salisbury, NC, USA",n/a,True
"Department of Social Sciences and Health Policy, Division of Public Health Sciences, Wake Forest University School of Medicine, Winston Salem, NC, USA",n/a,True
"Department of Social Sciences and Health Policy, Division of Public Health Sciences, Wake Forest University School of Medicine, Winston Salem, NC, USA, Department of Internal Medicine, Wake Forest University School of Medicine, Winston Salem, NC, USA, and The Maya Angelou Center for Health Equity, Wake Forest University School of Medicine, Winston Salem, NC, USA, ",n/a,True
"Ellen Hendrix, LLC, Winston-Salem, NC, USA",n/a,True
"Triad Health Project, Greensboro, NC, USA",n/a,True
"Armstrong Center for Hope, Durham, NC, USA",n/a,True
"Community Health Coalition and Healing with CAARE, Inc., Durham, NC, USA",n/a,True
"Project Compassion, Durham, NC, USA",n/a,True
"Shaw University, Raleigh, NC, USA",n/a,True
"North Carolina Translational and Clinical Sciences Institute, Chapel Hill, NC, USA",North Carolina Translational and Clinical Sciences Institute,False
"University of Texas School of Public Health at Houston, Houston, TX, USA",n/a,True
"Project Compassion, Chapel Hill, NC, USA",n/a,True
"AARP, Washington DC, USA",n/a,True
"Centers for Disease Control and Prevention, Atlanta, GA, USA",n/a,True
"Group Health Research Institute, Seattle, WA, USA",n/a,True
"National Association of Chronic Disease Directors, Atlanta, GA, USA",n/a,True
"University of California, Berkeley, Berkeley, CA, USA",n/a,True
"University of California, San Francisco, CA, USA",n/a,True
"University of South Carolina, Columbia, SC, USA",n/a,True
"Washington University in St. Louis, St. Louis, MO, USA",n/a,True
"West Virginia University, Morgantown, WV, USA",n/a,True
"Western Carolina University, Cullowhee, NC, USA",n/a,True
"Fred Hutchinson Cancer Research Center, Seattle, WA, USA",n/a,True
"Lineberger Comprehensive Cancer Center, University of North Carolina, Chapel Hill, NC, USA",UNC Lineberger Comprehensive Cancer Center,False
"The University of North Carolina at Chapel Hill, Chapel Hill, NC, USA",University of North Carolina at Chapel Hill,False
"Columbia University, New York, NY, USA",n/a,True
"Division of Research, Kaiser Permanente, Oakland, CA, USA",n/a,True
"Partnerships in Prevention Science Institute, Iowa State University, Ames, Iowa, USA",n/a,True
"Prevention Research Center, Pacific Institute for Research and Evaluation, Berkeley, CA, USA",n/a,True
"School of Public Health, University of North Carolina at Chapel Hill, USA",Gillings School of Global Public Health,False
Division of Pharmaceutical Outcomes and Policy; Eshelman School of Pharmacy; University of North Carolina; Chapel Hill NC USA,Division of Pharmaceutical Outcomes and Policy,False
Emory University School of Medicine; Atlanta GA USA,n/a,True
Health Literacy and Learning Program; Division of General Internal Medicine; Feinberg School of Medicine at Northwestern University; Chicago IL USA,n/a,True
Mercy Hospital and Medical Center; Chicago IL USA,n/a,True
School of Public Health; Emory University; Atlanta GA USA,n/a,True
Discipline of Surgery; University of Sydney; Sydney NSW Australia,n/a,True
Sydney School of Public Health; University of Sydney; Sydney NSW Australia,n/a,True
Westmead Clinical School; University of Sydney at Westmead Millennium Institute for Medical Research; Westmead NSW Australia,n/a,True
"Cecil G. Sheps Center for Health Services Research, University of North Carolina, USA, ",Cecil G. Sheps Center for Health Services Research,False
"UNC Gillings School of Global Public Health, University of North Carolina, USA",Gillings School of Global Public Health,False
"Arizona State University, GeoDa Center for Geospatial Analysis and Computation; Tempe; AZ",n/a,True
"RTI International, Social, Statistical, and Environmental Sciences; Waltham; MA",n/a,True
RTI International; Research Triangle Park; NC,n/a,True
"University of California, Economics Department; Santa Barbara; CA",n/a,True
"University of North Carolina-Chapel Hill, Gillings School of Global Public Health; Chapel Hill; NC",Gillings School of Global Public Health,False
Cecil G. Sheps Center for Health Services Research; University of North Carolina-Chapel Hill; NC,Cecil G. Sheps Center for Health Services Research,False
Division of Health Management and Policy; Graduate School of Public Health; San Diego State University; 5500 Campanile Dr.; San Diego; CA; 92182-4162,n/a,True
UNC Institute on Aging and Cecil G. Sheps Center for Health Services Research; University of North Carolina-Chapel Hill; Chapel Hill; NC,Cecil G. Sheps Center for Health Services Research|UNC Institute On Aging,False
UNC Institute on Aging and Department of Allied Health Sciences; School of Medicine; University of North Carolina-Chapel Hill; Chapel Hill; NC,UNC Institute On Aging|Department of Allied Health Sciences,False
Cecil G. Sheps Center for Health Services Research; Institute on Aging; University of North Carolina; Chapel Hill; NC,Cecil G. Sheps Center for Health Services Research|UNC Institute On Aging,False
Department of Health Policy & Management; Cecil G. Sheps Center for Health Services Research; University of North Carolina; Chapel Hill; NC,Department of Health Policy and Management|Cecil G. Sheps Center for Health Services Research,False
Department of Economics; Virginia Commonwealth University; Richmond; VA,n/a,True
Department of Health Policy and Management; The University of North Carolina at Chapel Hill; Chapel Hill; NC,Department of Health Policy and Management,False
School of Nursing; The University of North Carolina at Chapel Hill; Chapel Hill; NC,School of Nursing,False
Center for Health Promotion and Disease Prevention; University of North Carolina at Chapel Hill; University of North Carolina; Chapel Hill; NC,UNC Center for Health Promotion and Disease Prevention,False
Department of Epidemiology; UNC Gillings School of Global Public Health; Chapel Hill; NC,Department of Epidemiology,False
Department of Pediatrics; Wake Forest University School of Medicine; Winston-Salem; NC,n/a,True
Department of Psychiatry; University of Colorado at Denver and Health Sciences Center; Denver; CO,n/a,True
Department of Health Policy and Management; University of North Carolina at; Chapel Hill; NC,Department of Health Policy and Management,False
School of Nursing; University of North Carolina at Chapel Hill; Chapel Hill; NC,School of Nursing,False
University of California San Francisco; San Francisco; CA,n/a,True
Cecil G. Sheps Center for Health Services Research; University of North Carolina at Chapel Hill; Chapel Hill NC,Cecil G. Sheps Center for Health Services Research,False
Department of Health Care Policy; Harvard Medical School; Boston MA,n/a,True
Department of Health Policy and Administration; The Pennsylvania State University; University Park PA,n/a,True
"Health Management Strategies, Inc.; Austin TX",n/a,True
Institute for Clinical Outcomes Research; Salt Lake City UT,n/a,True
Pioneer Network; Chicago IL,n/a,True
Robert Wood Johnson Foundation; Princeton NJ,n/a,True
School of Nursing; University of Wisconsin at Madison; Madison WI,n/a,True
Department of Health Policy and Management; Gillings School of Global Public Health; The University of North Carolina at Chapel Hill; Chapel Hill NC,Department of Health Policy and Management,False
"Division of Cardiothoracic Surgery; Department of Surgery, School of Medicine; The University of North Carolina at Chapel Hill; Chapel Hill NC",Division of Cardiothoracic Surgery|Department of Surgery,False
Division of Health Policy and Management; School of Public Health; University of Minnesota; Minneapolis MN,n/a,True
Mathematica Policy Research; Washington DC,n/a,True
School of Medicine; The University of North Carolina at Chapel Hill; Chapel Hill NC,School of Medicine,False
St. Vincent Medical Group; Indianapolis IN,n/a,True
"Agency for Healthcare Research and Quality; Center for Delivery, Organization, and Markets; Rockville MD",n/a,True
"Data and Analytic Solutions, Inc.; Rockville MD",n/a,True
The University of North Carolina at Chapel Hill; Chapel Hill NC,University of North Carolina at Chapel Hill,False
Center for Biomedical Informatics (CBMI); The Children's Hospital of Philadelphia; Philadelphia PA,n/a,True
Department of Biostatistics and Epidemiology; Perelman School of Medicine of the University of Pennsylvania; Philadelphia PA,n/a,True
Department of Epidemiology; Gillings School of Global Public Health; University of North Carolina-Chapel Hill; Chapel Hill NC,Department of Epidemiology,False
Department of Pediatrics; Perelman School of Medicine of the University of Pennsylvania; Philadelphia PA,n/a,True
Division of General Pediatrics; The Children's Hospital of Philadelphia; Philadelphia PA,n/a,True
James M. Anderson Center for Health Systems Excellence and Division of Emergency Medicine; Cincinnati Children's Hospital Medical Center; Cincinnati OH,n/a,True
"The Pediatric Research Consortium, PolicyLab; and the Center for Pediatric Clinical Effectiveness; The Children's Hospital of Philadelphia; Philadelphia PA",n/a,True
Center for Health Services Research in Primary Care; Department of Veterans Affairs; Duke University Medical Center; Durham NC,n/a,True
Division of Pharmaceutical Outcomes and Policy; UNC Eshelman School of Pharmacy; University of North Carolina at Chapel Hill; Chapel Hill NC,Division of Pharmaceutical Outcomes and Policy,False
Baylor Scott and White Health; Center for Clinical Effectiveness; Dallas TX,n/a,True
Baylor Scott and White Health; Office of Clinical Ethics; Dallas TX,n/a,True
Department of Economics; Emory University; Atlanta GA,n/a,True
Department of Pharmacology; University of North Carolina; Chapel Hill NC,Department of Pharmacology,False
"Alcoholism Unit, Department of Internal Medicine; IBSAL-University Hospital of Salamanca; Salamanca Spain",n/a,True
Genotyping and Genetic Diagnosis Unit; Research Foundation of Hospital Clínico; Valencia Spain,n/a,True
"Laboratory of Liver Diseases; National Institute on Alcohol Abuse and Alcoholism, National Institutes of Health; Bethesda MD",n/a,True
"Liver Unit; Hospital Clínic, Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS), CIBER de Enfermedades Hepáticas y Digestivas (CIBERehd); Barcelona Catalonia Spain",n/a,True
"Service d'Hépato-Gastroentérologie; Amiens University Hospital and Groupe de Recherche sur l'Alcool et les Pharmacodépendances (INSERM ERI 24, GRAP), Picardie University; Amiens France",n/a,True
Cold Spring Harbor Laboratory; Cold Spring Harbor NY,n/a,True
Department of Biostatistics; University of North Carolina; Chapel Hill NC,Department of Biostatistics,False
Department of Genetics; University of North Carolina; Chapel Hill NC,Department of Genetics,False
"Department of Pathology; University Health Network, University of Toronto; Toronto Ontario Canada",n/a,True
"Department of Surgery; University Health Network, University of Toronto; Toronto Ontario Canada",n/a,True
Genome Sequencing Analysis Program and Platform; Broad Institute; Cambridge MA,n/a,True
Lineberger Comprehensive Cancer Center; University of North Carolina; Chapel Hill NC,UNC Lineberger Comprehensive Cancer Center,False
Allgemeines Krankenhaus der Stadt Wien; Vienna Austria,n/a,True
Hopital Beaujon; Clichy; Paris France,n/a,True
Hospital Vall d'Hebron and Ciberehd del Instituto Carlos III; Barcelona Spain,n/a,True
Janssen Global Services LLC; High Wycombe Buckinghamshire UK,n/a,True
Janssen Infectious Diseases BVBA; Beerse Belgium,n/a,True
"Janssen Research & Development, LLC; Titusville NJ",n/a,True
Klinikum der Johann-Wolfgang-Goethe-Universität-Med. Klinik I; Frankfurt Germany,n/a,True
Medical University of Bialystok; Bialystok Poland,n/a,True
Medizinische Hochschule Hannover; Hannover Germany,n/a,True
Russian State Medical University; Moscow Russia,n/a,True
"St Vincent's Hospital, Sydney, Australia and Kirby Institute; University of New South Wales; Sydney Australia",n/a,True
Toronto General Hospital; Toronto Ontario Canada,n/a,True
University of North Carolina at Chapel Hill; NC,University of North Carolina at Chapel Hill,False
University of Texas Health Science Center; San Antonio TX,n/a,True
Weill Cornell Medical College; Cornell NY,n/a,True
Carolinas Medical Center; Charlotte NC,n/a,True
Duke Clinical Research Institute; Durham NC,n/a,True
Indiana University; Indianapolis IN,n/a,True
"Laboratory of Pathology; National Cancer Institute, National Institutes of Health; Bethesda MD",n/a,True
"Liver Disease Research Branch, Division of Digestive Diseases and Nutrtion; National Institute of Diabetes and Digestive and Kidney Diseases, National Institutes of Health; Bethesda MD",n/a,True
Mayo Clinic College of Medicine; Rochester MN,n/a,True
Thomas Jefferson University Hospital; Philadelphia PA,n/a,True
University of California San Francisco; San Francisco CA,n/a,True
University of Michigan; Ann Arbor MI,n/a,True
University of North Carolina; Chapel Hill NC,University of North Carolina at Chapel Hill,False
University of Pennsylvania; Philadelphia PA,n/a,True
University of Southern California; Los Angeles CA,n/a,True
University of Texas Southwestern Medical Center; Dallas TX,n/a,True
Departments of Medicine; Microbiology and Immunology; Division of Gastroenterology & Hepatology; University of North Carolina; Chapel Hill NC,Department of Microbiology and Immunology|Division of Gastroenterology and Hepatology,False
Division of Cellular and Molecular Immunology; Cincinnati Children's Hospital Research Foundation; and the University of Cincinnati College of Medicine; Cincinnati OH,n/a,True
Division of Gastroenterology; Hepatology and Clinical Nutrition; Cincinnati Children's Hospital Research Foundation; and the University of Cincinnati College of Medicine; Cincinnati OH,n/a,True
Division of Pathology and Laboratory Medicine; Cincinnati Children's Hospital Research Foundation; and the University of Cincinnati College of Medicine; Cincinnati OH,n/a,True
Institute of Cellular Medicine; Newcastle University; Newcastle upon Tyne UK,n/a,True
"Joint Department of Biomedical Engineering; University of North Carolina, Chapel Hill and North Carolina State University; Raleigh NC",UNC/NCSU Joint Department of Biomedical Engineering,False
Newcastle Magnetic Resonance Center; Newcastle University; Newcastle upon Tyne UK,n/a,True
Northern Institute for Cancer Research; Newcastle University; Newcastle upon Tyne UK,n/a,True
Philips Healthcare Clinical Science; Guildford UK,n/a,True
"Departament de Biologia Cel·lular, Immunologia i Neurociències; Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS), Facultat de Medicina, Universitat de Barcelona; Barcelona Spain",n/a,True
"Genomic Programming of Beta Cells Laboratory; Institut d'Investigacions Biomèdiques August Pi i Sunyer, Barcelona, Spain. CIBER de Diabetes y Enfermedades Metabólicas Asociadas (CIBERDEM); Barcelona Spain",n/a,True
"Liver Cell Biology Lab, Department of Cell Biology; Vrije Universiteit Brussel; Brussels Belgium",n/a,True
"Liver Unit, Hospital Clínic; Institut d'Investigacions Biomèdiques August Pi i Sunyer (IDIBAPS), University of Barcelona, Centro de Investigación Biomédica en Red de Enfermedades Hepáticas y Digestivas (CIBERehd); Barcelona Spain",n/a,True
Department of Cell Biology and Physiology and Program in Molecular Biology and Biotechnology; UNC School of Medicine; Chapel Hill NC,Department of Cell Biology and Physiology,False
Department of Gastroenterology; Kanazawa University Hospital; Kanazawa Japan,n/a,True
"Genetics Branch; Center for Cancer Research, National Cancer Institute; Bethesda MD",n/a,True
"Laboratory of Experimental Carcinogenesis, National Cancer Institute, National Institutes of Health; Bethesda MD",n/a,True
"Laboratory of Human Carcinogenesis, Center for Cancer Research, National Cancer Institute; Bethesda MD",n/a,True
"Life Sciences Institute, Zhejiang University; Hangzhou China",n/a,True
"University of Hawaii Cancer Center, Cancer Biology Program (Ji), Epidemiology Program (Zheng); Honolulu HI",n/a,True
Dow Chemical Company; Midland MI,n/a,True
Institute for Chemical Safety Sciences; Hamner Institutes for Health Sciences; Research Triangle Park; NC,n/a,True
"Program in Molecular Biology and Biotechnology, Department of Cell Biology and Physiology; UNC School of Medicine; Chapel Hill NC",Department of Cell Biology and Physiology,False
Division of Gastroenterology; Department of Medicine; University of Alberta; Edmonton Alberta Canada,n/a,True
INSERM U995; Université Lille Nord de France; Lille France,n/a,True
"Institut d'Investigacions Biomèdiques August-Pi-Sunyer, University of Barcelona, Centro de Investigación Biomédica en Red de Enfermedades Hepáticas y Digestivas; Barcelona Spain",n/a,True
Liver Unit; Hospital Clínic; Barcelona Spain,n/a,True
Section of Digestive Diseases; Yale University; New Haven CT,n/a,True
Servicio de Gastroenterología; Hospital Domingo Luciani; Caracas Venezuela,n/a,True
"Curriculum in Neurobiology, University of North Carolina; Chapel Hill North Carolina",Neuroscience Curriculum,False
"Neuroscience Center, University of North Carolina; Chapel Hill North Carolina",UNC Neuroscience Center,False
"Baylor College of Medicine, Houston, TX, USA",n/a,True
"University of Houston, Houston, TX, USA",n/a,True
"University of Houston, Houston, TX, USA, ",n/a,True
"University of North Carolina-Chapel Hill, Chapel Hill, NC, USA",University of North Carolina at Chapel Hill,False
"University of Texas-Austin, Austin, TX, USA",n/a,True
"Instituto Nacional de Salud Pública, Cuernavaca, Mexico",n/a,True
" Beth Israel Medical Center, New York, New York",n/a,True
" Center for Biostatistics in AIDS ResearchHarvard School of Public Health, Boston, Massachusetts",n/a,True
" Frontier Science &amp; Technology Research FoundationInc, Amherst, New York",n/a,True
" New York University School of Medicine, New York, New York",n/a,True
" Northwestern University Feinberg School of Medicine, Chicago, Illinois",n/a,True
" Rush University Medical CenterChicago, Illinois",n/a,True
" Social and Scientific SystemsSilver Spring, Maryland",n/a,True
" University of Colorado-AMC, Aurora, Colorado",n/a,True
" University of North Carolina School of Medicine, Chapel Hill, North Carolina",School of Medicine,False
School of Medicine; University of North Carolina at Chapel Hill; Chapel Hill; NC; USA,School of Medicine,False
"School of Pharmacy and Pharmaceutical Sciences; State University of New York, University at Buffalo; Buffalo; NY; USA",n/a,True
UNC Eshelman School of Pharmacy; University of North Carolina at Chapel Hill; Chapel Hill; NC; USA,Eshelman School of Pharmacy,False
"Department of Medicine, Cardiovascular Division; University of Minnesota; Minneapolis MN USA",n/a,True
Department of Medicine; School of Medicine; University of North Carolina−Chapel Hill; Chapel Hill NC USA,Department of Medicine,False
